Date,Open,High,Low,Close,Volume
2016.09.30,1321.07,1321.49,1321.01,1321.47,526
2016.09.30,1321.45,1322.39,1321.37,1321.91,817
2016.09.30,1321.95,1322.17,1321.65,1321.87,737
2016.09.30,1321.88,1322.58,1321.77,1322.06,628
2016.09.30,1322.06,1322.29,1321.56,1321.67,1071
2016.09.30,1321.69,1322.09,1321.39,1322.03,966
2016.09.30,1321.99,1322.27,1321.45,1321.6,1131
2016.09.30,1321.65,1322.55,1321.58,1322.31,1525
2016.09.30,1322.34,1323.15,1322.24,1323.02,1380
2016.09.30,1323.05,1323.38,1322.62,1323.33,1837
2016.09.30,1323.3,1324.15,1323.23,1323.4,2179
2016.09.30,1323.41,1323.95,1323.23,1323.63,1271
2016.09.30,1323.65,1324.23,1323.51,1324.1,1572
2016.09.30,1324.12,1324.62,1324.08,1324.32,1294
2016.09.30,1324.37,1324.6,1323.59,1323.62,1525
2016.09.30,1323.6,1324.25,1319.5,1324.06,1919
2016.09.30,1324.05,1324.39,1323.26,1323.76,1411
2016.09.30,1323.75,1324.05,1323.5,1323.53,1554
2016.09.30,1323.53,1323.67,1321.13,1321.95,2693
2016.09.30,1321.94,1322.38,1321.81,1322.17,1219
2016.09.30,1322.15,1322.58,1321.71,1321.77,1087
2016.09.30,1321.76,1322.37,1321.74,1322.17,795
2016.09.30,1322.17,1322.58,1322.07,1322.35,824
2016.09.30,1322.35,1322.57,1321.79,1322.36,831
2016.09.30,1322.35,1322.89,1322.19,1322.81,954
2016.09.30,1322.81,1323.67,1322.74,1323.65,944
2016.09.30,1323.62,1323.66,1323.07,1323.16,801
2016.09.30,1323.14,1323.69,1323.14,1323.57,809
2016.09.30,1323.6,1324.1,1323.17,1323.99,1157
2016.09.30,1323.99,1324.01,1323.43,1323.77,1105
2016.09.30,1323.77,1324.22,1323.58,1324.06,1399
2016.09.30,1324.02,1325.19,1323.83,1324.46,2070
2016.09.30,1324.46,1324.63,1323.26,1323.4,1837
2016.09.30,1323.47,1323.73,1323.04,1323.29,896
2016.09.30,1323.33,1324.17,1322.93,1323.71,1890
2016.09.30,1323.7,1324.27,1323.26,1323.76,2430
2016.09.30,1323.76,1324.73,1323.76,1324.43,1833
2016.09.30,1324.45,1325.71,1324.3,1325.67,1810
2016.09.30,1325.67,1326.92,1325.6,1326.38,2343
2016.09.30,1326.42,1326.55,1325.38,1325.82,2200
2016.09.30,1325.78,1326.89,1325.67,1326.48,2555
2016.09.30,1326.52,1326.57,1325.7,1325.96,1698
2016.09.30,1325.99,1326.43,1325.9,1326.43,1364
2016.09.30,1326.42,1327.1,1326.05,1326.09,1477
2016.09.30,1326.11,1327.7,1325.99,1327.38,1740
2016.09.30,1327.38,1327.47,1326.2,1326.39,1543
2016.09.30,1326.39,1326.88,1326.23,1326.64,1551
2016.09.30,1326.64,1326.71,1325.53,1326.13,1415
2016.09.30,1326.13,1326.69,1326.04,1326.35,1257
2016.09.30,1326.39,1326.66,1325.73,1325.95,1516
2016.09.30,1325.95,1326.76,1325.73,1326.16,1179
2016.09.30,1326.16,1326.6,1325.72,1325.85,1038
2016.09.30,1325.81,1325.93,1324.76,1324.94,1304
2016.09.30,1324.92,1325.39,1324.79,1325.19,1184
2016.09.30,1325.2,1325.22,1322.38,1323.42,2308
2016.09.30,1323.42,1323.87,1322.2,1322.31,1282
2016.09.30,1322.4,1325.97,1322.19,1325.97,2454
2016.09.30,1326.06,1327.97,1325.74,1327.24,2044
2016.09.30,1327.25,1327.87,1326.99,1327.33,2567
2016.09.30,1327.33,1327.75,1325.88,1326.21,2930
2016.09.30,1326.22,1326.67,1325.5,1325.64,2319
2016.09.30,1325.64,1325.67,1320.96,1322.44,3636
2016.09.30,1322.48,1323.58,1317.37,1317.57,4193
2016.09.30,1317.57,1322.65,1316.84,1322.2,3108
2016.09.30,1322.2,1323.51,1320.55,1321.36,2609
2016.09.30,1321.36,1322.89,1321.12,1322.46,1792
2016.09.30,1322.46,1322.61,1319.12,1321.34,1663
2016.09.30,1321.32,1322.04,1320.35,1320.82,1876
2016.09.30,1320.79,1321.37,1319.97,1320.27,2220
2016.09.30,1320.29,1320.53,1318.74,1319.45,1703
2016.09.30,1319.44,1320.25,1318.21,1318.81,1556
2016.09.30,1318.8,1319,1318.42,1318.56,1601
2016.09.30,1318.56,1318.66,1316.26,1316.82,1873
2016.09.30,1316.78,1317.72,1315.99,1317.67,2382
2016.09.30,1317.67,1318.05,1316.85,1316.86,2031
2016.09.30,1316.83,1317.37,1313.64,1314.02,2494
2016.09.30,1314.07,1315.37,1313.13,1314.97,2344
2016.09.30,1314.95,1315.38,1314.01,1314.92,2057
2016.09.30,1314.92,1315.17,1314.4,1314.63,968
2016.09.30,1314.63,1316.57,1314.58,1316.04,1287
2016.09.30,1315.91,1317.74,1315.59,1317.53,1456
2016.09.30,1317.51,1317.6,1314.37,1315.35,2791
2016.09.30,1315.19,1316.81,1314.96,1315.89,2020
2016.09.30,1315.96,1317.45,1315.96,1317.45,1658
2016.09.30,1317.45,1317.99,1317.22,1317.71,1296
2016.09.30,1317.71,1318.03,1317.17,1317.37,1380
2016.09.30,1317.47,1317.5,1316.11,1317.28,418
2016.09.30,1317.28,1317.76,1316.05,1317.46,224
2016.09.30,1317.49,1317.61,1316.04,1316.57,271
2016.09.30,1316.57,1316.79,1315.28,1315.89,312
2016.10.03,1318.34,1318.36,1315.34,1316.09,911
2016.10.03,1316.11,1316.17,1315.84,1315.97,280
2016.10.03,1315.95,1316.11,1315.89,1315.95,180
2016.10.03,1315.95,1316.13,1315.68,1315.68,224
2016.10.03,1315.64,1315.81,1314.95,1315.58,527
2016.10.03,1315.56,1316.45,1315.34,1316.37,454
2016.10.03,1316.37,1316.77,1316.09,1316.77,461
2016.10.03,1316.77,1316.77,1315.49,1315.58,628
2016.10.03,1315.56,1316.08,1315.37,1315.68,773
2016.10.03,1315.6,1316.37,1315.6,1315.88,534
2016.10.03,1315.88,1316.2,1315.59,1315.76,984
2016.10.03,1315.76,1319.34,1315.57,1318.67,1037
2016.10.03,1318.67,1319.09,1318.24,1318.49,598
2016.10.03,1318.46,1318.96,1318.09,1318.87,644
2016.10.03,1318.88,1318.94,1317.27,1318.74,1278
2016.10.03,1318.78,1319.52,1318.65,1318.79,1083
2016.10.03,1318.8,1319.08,1317.74,1317.79,1016
2016.10.03,1317.79,1317.86,1316.58,1317.01,1188
2016.10.03,1317,1317.01,1315.1,1315.3,1259
2016.10.03,1315.3,1316.36,1315,1316.07,1228
2016.10.03,1316.05,1316.17,1315.36,1315.6,865
2016.10.03,1315.6,1315.75,1315.08,1315.38,936
2016.10.03,1315.36,1315.78,1315.04,1315.56,1064
2016.10.03,1315.55,1315.79,1315.33,1315.5,926
2016.10.03,1315.54,1315.7,1314.65,1314.97,1078
2016.10.03,1315,1315.06,1314.22,1314.62,1714
2016.10.03,1314.62,1314.85,1314.28,1314.44,1078
2016.10.03,1314.45,1314.68,1313.97,1314.3,1678
2016.10.03,1314.32,1314.95,1314.15,1314.75,1014
2016.10.03,1314.77,1315.35,1314.73,1314.73,950
2016.10.03,1314.69,1314.79,1314.26,1314.48,1112
2016.10.03,1314.45,1314.89,1314.43,1314.78,968
2016.10.03,1314.82,1315.48,1314.61,1315.01,1288
2016.10.03,1314.99,1315.03,1314.28,1314.58,922
2016.10.03,1314.58,1315.16,1314.34,1314.89,1169
2016.10.03,1314.81,1315.63,1314.69,1315.38,1236
2016.10.03,1315.38,1316.18,1315.18,1315.52,1652
2016.10.03,1315.47,1315.82,1315.31,1315.62,1047
2016.10.03,1315.68,1315.92,1315.22,1315.63,1302
2016.10.03,1315.66,1316.62,1315.53,1316.23,1340
2016.10.03,1316.22,1316.46,1315.46,1315.61,1017
2016.10.03,1315.63,1315.8,1315.45,1315.71,1034
2016.10.03,1315.71,1316.04,1315.41,1315.53,1154
2016.10.03,1315.59,1315.83,1315.21,1315.3,984
2016.10.03,1315.29,1315.74,1315.2,1315.51,1447
2016.10.03,1315.5,1316.4,1314.85,1315.6,1764
2016.10.03,1315.66,1317.94,1315.27,1317.82,1938
2016.10.03,1317.82,1318.07,1317.14,1317.35,1626
2016.10.03,1317.38,1317.65,1317.09,1317.58,957
2016.10.03,1317.55,1317.76,1317.4,1317.45,638
2016.10.03,1317.45,1317.51,1317.12,1317.25,791
2016.10.03,1317.29,1318.05,1317.29,1317.85,576
2016.10.03,1317.92,1318.21,1317,1317.15,1063
2016.10.03,1317.17,1317.45,1316.85,1317.32,853
2016.10.03,1317.33,1317.43,1316.72,1316.88,599
2016.10.03,1316.86,1317.43,1316.6,1317.32,688
2016.10.03,1317.31,1317.33,1316.29,1316.63,654
2016.10.03,1316.72,1317.44,1314.89,1316.58,1567
2016.10.03,1316.55,1316.94,1315.85,1316.26,1391
2016.10.03,1316.29,1316.39,1312.76,1313.31,1997
2016.10.03,1313.34,1314.45,1312.75,1313.01,1448
2016.10.03,1313.01,1313.98,1312.73,1313.61,1984
2016.10.03,1313.65,1314.85,1313.34,1314.42,1553
2016.10.03,1314.42,1315.15,1313.38,1313.71,1958
2016.10.03,1312.44,1313.57,1311.12,1311.2,2672
2016.10.03,1311.22,1312.84,1311.02,1312.82,2035
2016.10.03,1312.83,1313.8,1311.73,1312.62,2056
2016.10.03,1312.63,1313.41,1311.54,1311.94,1577
2016.10.03,1311.93,1312.31,1310.95,1311.57,1622
2016.10.03,1311.57,1312.26,1310.91,1312.14,1496
2016.10.03,1312.14,1312.64,1311.59,1312.43,1877
2016.10.03,1312.43,1312.46,1311.33,1311.59,1792
2016.10.03,1311.59,1312.2,1311.17,1311.39,1414
2016.10.03,1311.39,1311.39,1309.78,1310.52,1688
2016.10.03,1310.52,1311.18,1310.23,1311.07,1762
2016.10.03,1311.07,1311.32,1310.1,1311.02,1935
2016.10.03,1311.1,1311.3,1310.47,1310.68,1819
2016.10.03,1310.61,1310.82,1309.28,1310.22,2597
2016.10.03,1310.21,1311.49,1310.21,1311.35,1493
2016.10.03,1311.35,1311.99,1311.16,1311.52,669
2016.10.03,1311.47,1311.91,1310.76,1311.35,989
2016.10.03,1311.3,1311.73,1310.1,1311.22,1022
2016.10.03,1311.23,1311.28,1310.74,1311.17,916
2016.10.03,1311.17,1311.44,1310.83,1311.24,610
2016.10.03,1311.23,1311.88,1311.17,1311.69,415
2016.10.03,1311.7,1312.21,1311.36,1311.82,737
2016.10.03,1311.81,1312.67,1311.53,1312.33,779
2016.10.03,1312.33,1313.48,1311.8,1313.23,2447
2016.10.03,1313.23,1313.37,1312.77,1313.09,1211
2016.10.03,1313.09,1313.17,1312.45,1312.54,824
2016.10.03,1312.54,1312.63,1310.53,1311.73,245
2016.10.03,1311.73,1311.92,1308.49,1308.49,199
2016.10.04,1311.56,1312.32,1311.34,1312.3,303
2016.10.04,1312.22,1312.87,1311.85,1312.63,341
2016.10.04,1312.68,1312.87,1312.19,1312.36,498
2016.10.04,1312.37,1312.87,1312.37,1312.85,563
2016.10.04,1312.85,1312.87,1311.96,1312.15,565
2016.10.04,1312.15,1312.17,1311.58,1312.06,805
2016.10.04,1312.06,1312.92,1311.89,1312.11,956
2016.10.04,1312.11,1312.89,1311.69,1311.79,1272
2016.10.04,1311.74,1311.78,1310.74,1311,1263
2016.10.04,1310.99,1311.04,1310.02,1310.95,1412
2016.10.04,1310.92,1311.23,1310.43,1310.98,1243
2016.10.04,1311,1311,1310.17,1310.19,1380
2016.10.04,1310.18,1310.96,1309.87,1310.83,1171
2016.10.04,1310.9,1311.35,1310.79,1311.19,969
2016.10.04,1311.2,1311.24,1310.59,1310.77,1243
2016.10.04,1310.86,1311.08,1310.66,1310.78,674
2016.10.04,1310.82,1311.07,1309.73,1310.07,1485
2016.10.04,1310.07,1310.3,1308.7,1308.92,1299
2016.10.04,1308.92,1309.27,1308.15,1309.02,1435
2016.10.04,1309.04,1309.46,1308.22,1309.17,1344
2016.10.04,1309.22,1310.62,1308.98,1310.49,1202
2016.10.04,1310.49,1311.1,1309.92,1310.2,873
2016.10.04,1310.16,1311.33,1307.85,1310.74,1467
2016.10.04,1310.74,1311.04,1310.1,1310.33,1250
2016.10.04,1310.33,1310.49,1309.88,1310.11,793
2016.10.04,1310.11,1310.92,1309.99,1310.64,952
2016.10.04,1310.64,1310.64,1310.13,1310.56,1077
2016.10.04,1310.56,1311.06,1310.44,1310.95,1067
2016.10.04,1310.95,1311.44,1310.79,1311.41,1064
2016.10.04,1311.41,1312.05,1311.35,1312,973
2016.10.04,1312,1312.07,1311.37,1311.39,924
2016.10.04,1311.39,1311.8,1310.99,1310.99,876
2016.10.04,1310.99,1311.18,1310.37,1310.91,1379
2016.10.04,1310.89,1311.56,1310.38,1311,966
2016.10.04,1311.09,1311.24,1310.2,1310.2,829
2016.10.04,1310.2,1310.41,1308.55,1308.64,1694
2016.10.04,1308.61,1309,1306.74,1307.72,2417
2016.10.04,1307.67,1308.47,1307.14,1307.58,2644
2016.10.04,1307.48,1308.33,1306.92,1308.04,1623
2016.10.04,1308.04,1308.49,1307.58,1307.97,1666
2016.10.04,1307.95,1308.3,1307.35,1307.44,1284
2016.10.04,1307.36,1308.96,1307.26,1308.51,1643
2016.10.04,1308.47,1308.86,1308.3,1308.76,1050
2016.10.04,1308.76,1309.85,1308.76,1309.35,1612
2016.10.04,1309.4,1310.04,1309.25,1309.84,888
2016.10.04,1309.84,1309.91,1308.85,1308.94,945
2016.10.04,1309.04,1309.29,1308.53,1308.93,1374
2016.10.04,1308.94,1309.44,1307.83,1308.24,1483
2016.10.04,1308.24,1308.5,1307.75,1308.09,961
2016.10.04,1308.18,1308.37,1307.49,1308.09,1846
2016.10.04,1308,1308.8,1307.95,1308.64,2199
2016.10.04,1308.61,1309.34,1308.52,1309.04,1853
2016.10.04,1309.03,1310.38,1308.47,1308.71,1981
2016.10.04,1308.71,1309.28,1308.21,1308.9,1249
2016.10.04,1308.9,1309.35,1307.76,1307.94,1207
2016.10.04,1307.96,1308.52,1307.67,1307.67,1129
2016.10.04,1307.71,1308.01,1304.9,1305.01,2268
2016.10.04,1305.02,1305.97,1296.04,1298.05,3616
